,Open,High,Low,Close,Volume
2025-06-17 19:25:00,594.239,594.4184,594.2091,594.4184,695
2025-06-17 19:26:00,594.3786,594.4584,594.3786,594.4434,1553
2025-06-17 19:27:00,594.4783,594.4783,594.2589,594.3387,1182
2025-06-17 19:28:00,594.3886,594.3886,594.2889,594.2889,1166
2025-06-17 19:29:00,594.3288,594.4185,594.3288,594.3886,651
2025-06-17 19:30:00,594.3387,594.3786,594.2889,594.3586,486
2025-06-17 19:31:00,594.3337,594.3786,594.2989,594.3786,285
2025-06-17 19:32:00,594.3387,594.4235,594.3387,594.3586,216
2025-06-17 19:33:00,594.3387,594.4484,594.3387,594.3985,187
2025-06-17 19:34:00,594.3985,594.4477,594.3387,594.3886,992
2025-06-17 19:35:00,594.3786,594.3786,594.2091,594.2091,8125
2025-06-17 19:36:00,594.249,594.249,594.1393,594.1493,743
2025-06-17 19:37:00,594.1901,594.3188,594.1393,594.3188,3900
2025-06-17 19:38:00,594.2689,594.3188,594.1692,594.1692,3143
2025-06-17 19:39:00,594.2191,594.239,594.1692,594.1941,222
2025-06-17 19:40:00,594.239,594.239,594.1692,594.1792,579
2025-06-17 19:41:00,594.1892,594.1991,594.1602,594.1991,1295
2025-06-17 19:42:00,594.229,594.2889,594.2193,594.2889,7527
2025-06-17 19:43:00,594.3985,594.6279,594.3985,594.6279,1829
2025-06-17 19:44:00,594.6279,594.8173,594.6279,594.6777,9916
2025-06-17 19:45:00,594.6279,594.6877,594.5276,594.5276,1034
2025-06-17 19:46:00,594.5082,594.6229,594.3982,594.6229,2095
2025-06-17 19:47:00,594.578,594.676,594.5498,594.676,975
2025-06-17 19:48:00,594.6378,594.6777,594.5979,594.6079,3260
2025-06-17 19:49:00,594.6179,594.6578,594.578,594.5868,653
2025-06-17 19:50:00,594.578,594.7276,594.4883,594.5281,2747
2025-06-17 19:51:00,594.4982,594.6478,594.4185,594.5979,598
2025-06-17 19:52:00,594.6079,594.8671,594.6079,594.7774,1740
2025-06-17 19:53:00,594.7793,594.907,594.7793,594.907,6085
2025-06-17 19:54:00,594.8971,594.8971,594.5501,594.5966,1537
2025-06-17 19:55:00,594.577,594.5979,594.3586,594.5182,1482
2025-06-17 19:56:00,594.4965,594.4982,594.2589,594.3686,1580
2025-06-17 19:57:00,594.3586,594.4384,594.2739,594.3786,1661
2025-06-17 19:58:00,594.3985,594.4883,594.239,594.2988,3169
2025-06-17 19:59:00,594.2689,594.4085,594.2487,594.3836,6231
2025-06-17 20:00:00,595.7645,595.7645,594.4384,594.4384,1439581
2025-06-18 04:00:00,596.4524,597.3199,596.4524,597.2401,4197
2025-06-18 04:01:00,597.1703,597.2999,597.1504,597.2999,456
2025-06-18 04:02:00,597.3298,597.4794,597.3298,597.3398,1006
2025-06-18 04:03:00,597.3897,597.3897,597.3598,597.3897,134
2025-06-18 04:04:00,597.3996,597.4295,597.3697,597.4295,1183
2025-06-18 04:05:00,597.4495,597.5193,597.4295,597.4894,3436
2025-06-18 04:06:00,597.4894,597.609,597.4894,597.5791,116
2025-06-18 04:07:00,597.599,597.619,597.5791,597.609,888
2025-06-18 04:08:00,597.609,597.629,597.609,597.629,96
2025-06-18 04:09:00,597.599,597.6788,597.599,597.6688,469
2025-06-18 04:10:00,597.6888,597.6888,597.609,597.6489,218
2025-06-18 04:11:00,597.6688,597.6888,597.629,597.6888,4143
2025-06-18 04:12:00,597.6988,597.7087,597.629,597.629,11006
2025-06-18 04:13:00,597.6688,597.6688,597.5891,597.619,27830
2025-06-18 04:14:00,597.599,597.599,597.3996,597.4495,1268
